sam_address_id,zip_code,latitude,longitude,trashday
168924,02128,42.37735634217347,-71.03689223623006,Tuesday
168925,02128,42.37715336760942,-71.03643257546392,Tuesday
168926,02128,42.37713265871108,-71.03627973984393,Tuesday
168927,02128,42.377460160355575,-71.03652628981072,Tuesday
168928,02128,42.377203526485104,-71.0359648694681,Tuesday
168929,02128,42.37741457823096,-71.03590601555109,Tuesday
168930,02128,42.37729748049146,-71.03581210046232,Tuesday
168931,02128,42.37808068481737,-71.03474038786261,Tuesday
168932,02128,42.3780663542907,-71.03392081803689,Tuesday
168933,02128,42.37894169612015,-71.03259723165513,Tuesday
168934,02128,42.37935210019908,-71.03148308218196,Tuesday
168935,02128,42.37946715042365,-71.03117911650274,Tuesday
168936,02128,42.37957506717872,-71.02990923244721,Tuesday
168937,02128,42.380131751285056,-71.02952438599412,Tuesday
168938,02128,42.38017429630207,-71.02926313234784,Tuesday
168939,02128,42.3806534329582,-71.02793952379992,Monday
168940,02128,42.38080731447118,-71.02752883594155,Tuesday
168961,02128,42.38112258140527,-71.03368627413897,Monday
168962,02128,42.38112258140527,-71.03368627413897,Monday
168963,02128,42.38112258140527,-71.03368627413897,Monday
168964,02128,42.38112258140527,-71.03368627413897,Monday
168965,02128,42.38112258140527,-71.03368627413897,Monday
168966,02128,42.38112258140527,-71.03368627413897,Monday
168967,02128,42.37966844091977,-71.03277755894068,Monday
168968,02128,42.37933380140838,-71.03254395385378,Monday
168969,02128,42.37842112580465,-71.03193157646656,Tuesday
168970,02128,42.378158287241256,-71.031748604843,Tuesday
168971,02128,42.37798217717311,-71.03151153937642,Tuesday
168972,02128,42.37768793466432,-71.03178206332423,Tuesday
168973,02128,42.377470298874194,-71.03143451666486,Tuesday
169447,02128,42.37557331059711,-71.03883551486852,Tuesday
169449,02128,42.37627176491303,-71.03787022481961,Tuesday
169450,02128,42.377322962621456,-71.03491043112386,Tuesday
169451,02128,42.37750952765651,-71.0345619805287,Tuesday
169452,02128,42.37789163771161,-71.03360241592246,Tuesday
169453,02128,42.37827897442661,-71.03218850815398,Tuesday
169454,02128,42.37850344659121,-71.03071252917499,Tuesday
169455,02128,42.37922441637442,-71.02873532730747,Tuesday
169456,02128,42.37926171875985,-71.02863310314405,Tuesday
169457,02128,42.37929997415385,-71.02853201514048,Tuesday
169458,02128,42.37934565234149,-71.0284355501455,Tuesday
169459,02128,42.38006904395816,-71.02756735402856,Thursday
169460,02128,42.38198356585444,-71.02236812566095,Thursday
169461,02128,42.382165428168975,-71.0208450716159,Thursday
169462,02128,42.3825265439255,-71.02098693897752,Thursday
169464,02128,42.383225261859074,-71.01902808906885,Thursday
169466,02128,42.38351808057819,-71.01732465279731,Thursday
169468,02128,42.38477600032968,-71.01404171994949,Thursday
169469,02128,42.38595323567501,-71.01024428862785,Thursday
169470,02128,42.38621730571983,-71.0094703842517,Friday
169471,02128,42.38340340200818,-71.01699626140936,Thursday
169472,02128,42.38340340200818,-71.01699626140936,Thursday
169474,02128,42.38701256550146,-71.00718942030741,Friday
169475,02128,42.386971002430194,-71.00704211679835,Friday
169476,02128,42.38580291215489,-71.00386912368724,Friday
169477,02128,42.385606792899495,-71.00337437628755,Friday
169478,02128,42.38490304757039,-71.00247861794648,Friday
169565,02128,42.36583230525616,-71.0339706617957,Wednesday
169566,02128,42.36604750964861,-71.03392223961191,Wednesday
169670,02128,42.38490900004017,-71.00019400131588,Friday
169676,02128,42.380752659277306,-71.02803034988541,Monday
169831,02128,42.36784329821232,-71.03983773041425,Wednesday
169921,02128,42.38505287591501,-71.00479876134912,Friday
169922,02128,42.384557254857455,-71.00327637773431,Friday
170101,02128,42.36961310295136,-71.04101901224251,Tuesday
170102,02128,42.36955676699956,-71.04089575695366,Tuesday
170103,02128,42.36953229128463,-71.04082761777292,Tuesday
170104,02128,42.369371205165486,-71.04032266181547,Tuesday
170105,02128,42.36926257124079,-71.04012826082658,Tuesday
170107,02128,42.36892915866056,-71.04024114010365,Tuesday
170108,02128,42.368652862272185,-71.04017846921266,Tuesday
170109,02128,42.36869809195439,-71.03890624158576,Wednesday
170110,02128,42.36803553274604,-71.03869681123116,Wednesday
170112,02128,42.36793259448192,-71.03796247124241,Wednesday
170113,02128,42.367828093896506,-71.03765212497818,Wednesday
170114,02128,42.3678190153878,-71.03764585329807,Wednesday
170115,02128,42.36751153214726,-71.03700402786342,Wednesday
170116,02128,42.36733353713171,-71.03686170188071,Wednesday
170118,02128,42.367116803282855,-71.03669211434958,Wednesday
170119,02128,42.36725453028044,-71.03642348287438,Wednesday
170120,02128,42.36721865830807,-71.03635010800916,Wednesday
170121,02128,42.3672279849356,-71.03621023480922,Wednesday
170122,02128,42.36744386494514,-71.03582041389447,Wednesday
170123,02128,42.36693554483813,-71.03554046212236,Wednesday
170124,02128,42.36648477948482,-71.03485210278144,Wednesday
170125,02128,42.36642364504665,-71.03489979628127,Wednesday
170126,02128,42.36635296091002,-71.03495579109041,Wednesday
170127,02128,42.36669985811865,-71.03431617033722,Wednesday
170129,02128,42.366551851447525,-71.03382069663934,Wednesday
170130,02128,42.36393307959001,-71.02849693311867,Wednesday
170131,02128,42.36389922323898,-71.02845618410731,Wednesday
170137,02128,42.366334768730674,-71.03430663751185,Wednesday
170165,02128,42.388442590145225,-70.99738745294471,Friday
170304,02128,42.38300412783421,-70.99968318436761,Friday
170535,02128,42.37805816156887,-71.0390149661721,Monday
170536,02128,42.377636182121215,-71.03867971271053,Monday
170537,02128,42.37783071630288,-71.0387795902161,Monday
170538,02128,42.37831886518176,-71.0376574978885,Monday
170539,02128,42.37874413222061,-71.0372028012049,Monday
170540,02128,42.37850608460717,-71.036827882886,Monday
170541,02128,42.37908448539368,-71.03546188294976,Monday
170542,02128,42.37917840395137,-71.03513292972701,Monday
170543,02128,42.37945971423242,-71.03533001798506,Monday
170544,02128,42.37988503800652,-71.0332271027988,Monday
170545,02128,42.380514537946446,-71.03145468803805,Monday
170546,02128,42.38071506783663,-71.03108114332875,Monday
170547,02128,42.380684596772326,-71.03105774406453,Monday
170548,02128,42.38079652841998,-71.03084380719123,Monday
170549,02128,42.38587558680215,-71.01090123724342,Thursday
